Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
Q11,npn,BC846ALT1G,SOT23,BC846ALT1G,,,,,
Q9,npn,BC846ALT1G,SOT23,BC846ALT1G,,,,,
J16,6 pin 2x3,,USER,103777-3,,,,,
U2,5v regulator,,USER,R-78E5.0-1.0,,,,,
U21,ATTiny25,ATTINY25-20SSU,soic8,ATTINY25-20SSU,,,,,
C103,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C61,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C52,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C8,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C9,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C47,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C25,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C94,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C59,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C56,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C74,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C75,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C90,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C104,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C100,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C41,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C72,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C108,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C123,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C154,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C30,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C85,mlcc capacitor,0.1uF,1206Standard,C1206C104K5RACTU,,,,,
C7,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C42,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C71,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C110,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C122,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C155,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C73,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C60,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C62,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C126,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C6,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C10,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C111,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C95,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C134,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C117,mlcc capacitor,0.01uF,1206Standard,12065C103KAT4A,,,,,
C109,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C23,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C13,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C16,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C18,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C15,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C12,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C37,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C39,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C40,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C36,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C33,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C32,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C77,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C83,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C76,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C79,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C98,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C106,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C105,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C97,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C99,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C101,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C84,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C80,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C130,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C127,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C135,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C150,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C148,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C153,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C146,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C147,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C149,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C19,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C24,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C34,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C89,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C88,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C102,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
C107,mlcc capacitor,4.7uF 50v,1206Standard,CGA5L3X7R1H475K160AB,,,,,
